,weight,id,name,cfa_url,vetstreet_url,vcahospitals_url,temperament,origin,country_codes,country_code,description,life_span,indoor,lap,adaptability,affection_level,child_friendly,cat_friendly,dog_friendly,energy_level,grooming,health_issues,intelligence,shedding_level,social_needs,stranger_friendly,vocalisation,bidability,experimental,hairless,natural,rare,rex,suppressed_tail,short_legs,wikipedia_url,hypoallergenic,reference_image_id
0,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
1,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
2,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
3,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
4,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
5,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
6,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
7,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
8,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
9,"{'imperial': '6 - 12', 'metric': '3 - 7'}",beng,Bengal,http://cfa.org/Breeds/BreedsAB/Bengal.aspx,http://www.vetstreet.com/cats/bengal,https://vcahospitals.com/know-your-pet/cat-breeds/bengal,"Alert, Agile, Energetic, Demanding, Intelligent",United States,US,US,"Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",12 - 15,0,0,5,5,4,4,5,5,1,3,5,3,5,3,5,3,0,0,0,0,0,0,0,https://en.wikipedia.org/wiki/Bengal_(cat),1,O3btzLlsO
